n_s,log_A_s,omega_b,omega_cdm,tau
0.9649967813185433,3.1421841682340372,0.02105028280416018,0.13698953947956413,0.03154764556630281
0.9484007313294509,3.0915858290447016,0.021000427871389445,0.11698807829550988,0.038113740351552614
0.977908876059273,2.9918109852516728,0.02262071226975984,0.11741265857580094,0.06296391464502932
0.9564331828383464,3.1037668122819477,0.021037872365487792,0.1337475855324201,0.03523420839002195
0.9921172573677974,3.0676468211047805,0.02019205860395121,0.11909160318318017,0.05358054041257315
0.9498341608387644,3.072729991849441,0.021485912392468425,0.124607685657619,0.034782923776168935
0.9775676571353228,3.052254873540135,0.020177348349283725,0.1349394431044095,0.04351326110471811
0.9810343158592274,3.0522305117741997,0.021289048590147547,0.12211659635976424,0.06643325465013294
0.9643468854424337,2.9591250982705914,0.020454599469795998,0.1316553145003793,0.04627919350496512
0.9808358570692751,3.0733418782431454,0.02193342334379214,0.11879476256744037,0.056371506187909766
0.9937240027539257,2.9863988956595375,0.020952426151244995,0.13054002723715113,0.04040737086553434
0.9819765781290694,3.0544311626336693,0.021080862517608094,0.1265279030450281,0.0498971367481616
0.9940099479111463,3.1339293355690785,0.023208869527787036,0.13869852501713878,0.037584132041999986
0.9475133926179802,2.9455161189258883,0.022467392099803876,0.1323045377324815,0.0696640820652692
0.9586535624598154,3.097488720703441,0.023880293193853465,0.11970149090771202,0.057973542431457775
0.9525315584832393,2.935955960936335,0.020326676166970547,0.13795164451771488,0.07613040254477235
0.9480500705937901,2.908789041970784,0.02295237195923067,0.12067749540620139,0.07149943219817165
0.9898872985641767,3.0227416460974106,0.022425076245539497,0.13056258092331452,0.05976247388062242
0.9539754306369186,3.1268455519437386,0.020099107687448853,0.13817928468160856,0.0508924621977713
0.9920310915222065,2.944795728108417,0.02194982470016137,0.1321682299114682,0.07617595255838627
0.9684427425792788,3.0140450439299284,0.021295468260077083,0.13887546235433978,0.04555553122740085
0.9868084932943252,2.9741825957746784,0.02307545551687631,0.11776855413556771,0.0722774349400864
0.941846326711305,2.902819645495281,0.0201653880867517,0.12931131170646587,0.05742058068042652
0.9965543015714773,3.195686222070525,0.020708561074088097,0.1366635186044034,0.03973431727898244
0.9884024770609326,3.130002523009767,0.02146783111135772,0.11018876288896744,0.07457395964565344
0.9850151802754227,2.9941505208181503,0.021067710951622267,0.12732344895548417,0.07056030888569556
0.9888348822109438,2.9909112319822433,0.0239168378777206,0.12494979695293199,0.06631022711271298
0.944799315883869,3.177956216118014,0.023867035393126117,0.11949825897159125,0.060422931750001935
0.9688454002500748,3.105426393950847,0.02387812434709005,0.13153142407921437,0.07821316276497359
0.9487519907301072,3.1341002646503986,0.020978958655195057,0.12701841632809543,0.05764945969800299
0.9659852112422741,3.103865575884224,0.022091719501822003,0.13453168945784694,0.07654728560647162
0.9571698327972088,3.0432078149324244,0.022082681154730617,0.1137090950807857,0.06863078381270206
0.9422467677716213,3.042062598223229,0.02047753957201821,0.11116943881165736,0.06753612868826522
0.9841488723314841,3.11527553153853,0.023050383497055873,0.12574524291660766,0.032576177515123254
0.9666312724648558,3.176822741430615,0.021897488069818866,0.1389959593464493,0.038445884804560446
0.9858986526814182,2.9044347354409994,0.022654015248871888,0.11634662484100618,0.07663128479951359
0.9899232762252737,3.0945659830040455,0.021376962283279226,0.13585526106422255,0.031205699689197224
0.9524001501621049,3.1846439513406692,0.022303811066663876,0.11535879815582976,0.049443438487101934
0.956441895605484,2.955463854413749,0.02092375448413518,0.13935753330991815,0.06287116789208438
0.9804346219507553,3.168860092581272,0.020600250875918324,0.11629705348001429,0.056742241908177504
0.9842866778548528,2.907954226036091,0.020778998517627597,0.13387784153746174,0.04602465159280729
0.9675331103191,3.018930226667332,0.021742644682652773,0.12807317251243058,0.06941234175170949
0.9477791721269306,3.143062832508617,0.02214360044869668,0.11966293813210727,0.04758211482175961
0.9496378304798825,2.9665803413372664,0.0221597524923927,0.13371608656173492,0.03391506054515438
0.9952209715392466,2.9806267123931973,0.020684674271574475,0.1382756656511443,0.035567838844327945
0.9521822557471206,2.946646271076292,0.021740889603915348,0.11806049037332479,0.03072235256490623
0.9947157898120881,3.1775871328521026,0.022058067536175716,0.1325660593617015,0.032001674419459995
0.9726458691725316,3.152079892759767,0.020264430473101495,0.13963973244824035,0.055897271400080856
0.9434251171415534,3.128480477436751,0.022453534718516067,0.11209203845614102,0.057359849604482496
0.9732139678313867,3.025909533926399,0.023897174856861454,0.1397693872393489,0.04003935294784066
0.9847704420692326,3.0243698764052374,0.02241909220623585,0.13105628240655573,0.06449408344092505
0.9568976195715927,3.1191775146854863,0.02291378944384029,0.12087400161714568,0.0689601391584061
0.9684356148026741,2.9307763003714316,0.023173379330652152,0.13899284192100544,0.03055197573818781
0.9832850340483179,3.039307291987649,0.021817692773209618,0.11356826764904503,0.03597447129959159
0.941738338137725,3.0939238037793597,0.021967893236134746,0.12556113284275836,0.060557982136830016
0.9882881910862951,2.929952301335457,0.022152990947525954,0.11676687492586649,0.06957872170932944
0.9540986957481395,3.1332227752385604,0.022541526510257794,0.12255125918636252,0.03568571918370643
